"날씨"	"가장 좋아하는 계절은 무엇인가요? 이유는요?"	"비 오는 날에는 주로 뭘 하며 시간을 보내세요?"	"이번 주말에 날씨가 좋으면 어떤 계획을 세우고 싶으세요?"
"여행"	"최근에 다녀온 여행지 중 가장 기억에 남는 곳은 어디인가요?"	"가보고 싶은 여행지가 있다면 어디인가요?"	"혼자 떠나는 여행과 함께 떠나는 여행 중 어떤 걸 선호하세요?"
"음식"	"요즘 가장 자주 먹는 음식은 무엇인가요?"	"좋아하는 음식점이 있나요? 추천해 주실 곳이 있을까요?"	"집에서 요리하는 걸 좋아하시나요? 주로 어떤 요리를 만드세요?"
"음악"	"요즘 즐겨 듣는 음악이 있나요?"	"좋아하는 가수나 밴드는 누구인가요?"	"콘서트에 가본 적 있으신가요? 가장 기억에 남는 콘서트는요?"
"책"	"최근에 읽은 책 중 추천하고 싶은 책이 있나요?"	"어떤 장르의 책을 주로 읽으세요?"	"종이책과 전자책 중 어떤 걸 선호하시나요?"
"스포츠"	"어떤 스포츠를 가장 좋아하시나요?"	"요즘 관심 있게 보는 경기나 팀이 있으신가요?"	"운동할 때 꼭 챙기는 필수 아이템이 있나요?"
"가족"	"어렸을 때 기억에 남는 가족 여행이 있으신가요?"	"가족 간의 전통이나 특별한 가족 문화가 있나요?"	"가족과 함께한 특별한 순간이 있다면 어떤 것인가요?"
"직업"	"꿈꾸는 직업이 있다면 어떤 일인가요?"	"지금 하시는 일이 어떤 점에서 가장 만족스러우신가요?"	"일하면서 힘들었던 경험 중에 배운 점이 있다면 무엇인가요?"
"휴가"	"가장 기억에 남는 휴가지가 있다면 어디인가요?"	"계획적인 여행과 즉흥적인 여행 중 어떤 걸 더 선호하시나요?"	"버킷리스트에 있는 여행지는 어디인가요?"
"반려동물"	"키우고 싶은 반려동물이 있다면 어떤 동물인가요?"	"반려동물을 키우신다면 이름과 종류가 어떻게 되나요?"	"반려동물을 키운다면 어떤 점이 가장 행복하게 느껴지나요?"
